,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
0,yY5yyyvei9fe9Tu0n7QovA==,Propiedad,2021-04-07,9999-12-31,2021-04-07,-38.1982603075,-57.7030192021,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Barrio Santa Isabel,,,2.0,1.0,1.0,,,33000.0,USD,,CASA 2 AMBIENTES CON GALPON EN VENTA EN CHAPADMALAL,"<b>CASA 2 AMBIENTES CON GALPON EN VENTA EN CHAPADMALAL</b><br><br>SAN EDUARDO DE CHAPADMALAL, A 7 CUADRAS DE LA RUTA 11.<br />
CASA DE DOS AMBIENTES MAS GALPON. 2 A&Ntilde;OS DE ANTIGUEDAD.<br />
SUP. 40 MTS. SOBRE LOTE DE 400 MTS. SERVICIO DE LUZ Y AGUA.  SE VENDE CON MUEBLES. <br /><br><br> Características adicionales: <br>  <br><br> Ref#283907.",Casa,Venta
1,mc+0MnfT6S+GUr36+l4vjA==,Propiedad,2020-08-10,2020-11-06,2020-08-10,-34.5470396397,-58.4504479951,Argentina,Capital Federal,Nuñez,,,,6.0,4.0,5.0,,,579000.0,USD,,Bº River - Casa con 4 Dorm. 2 Suites - Cochera Cubierta y Jardin,"Casa ubicada en exclusivo barrio residencial con excelente accesibilidad por las avenidas que lo circundan, permitiendo r&aacute;pida conexi&oacute;n con el centro porte&ntilde;o a trav&eacute;s de Av. Lugones/Av. Libertador y con el norte por Av. Cantilo. Sobre Av. Libertador se pueden encontrar gran cantidad de comercios como ser bancos, bares, panaderias, oficinas, concesionarias, restaurantes, supermercados, etc. Pr&oacute;ximo a la universidad UTDT, colegio ORT, cancha de River Plate e importante hipermercado. Transporte publico cercano: Colectivos: 15, 28, 29, 34, 37, 42, 57, 107, 130, 152, 160. A 10&acute;estaci&oacute;n Congreso del Subte D &oacute; del FC Mitre ramal Retiro - Tigre estaci&oacute;n Belgrano C (actualmente en obra por nuevo viaducto). <br />
<br />
Se trata de una casa desarrollada en tres plantas, retirada del frente, con cuatro dormitorios, dos en suite (una suite con vestidor y amplio ba&ntilde;o con hidromasaje), dos dormitorios que comparten un ba&ntilde;o compartimentado con placard, living separado en dos sectores uno en desnivel con hogar, toilette de recepci&oacute;n compartimentado, comedor principal, cocina comedor diario, patio/jard&iacute;n al fondo, dependencia de servicio con su ba&ntilde;o, lavadero, cochera cubierta y altillo o playroom. <br />
<br />
Todos los ambientes muy amplios, destac&aacute;ndose el living comedor principal (3,82x12,76) con piso entarugado de seis pulgadas de ancho que tambi&eacute;n reviste la escalera y el hall de distribuci&oacute;n del primer piso. Los cuatro dormitorios con pisos de parquet, suite principal (3,11x4,10) con amplio vestidor ventilado (4,12x1,90) y ba&ntilde;o con hidromasaje (1,90x3,39), una segunda suite (3,32x3,13 + placard, ba&ntilde;o 2,00x2,18), ambas al contrafrente comparten una terraza (3,16x2,33). Adicionalmente dos dormitorios al frente (3,10x3,54 + placard y 3,00x3,57 + placard) compartiendo un generoso ba&ntilde;o compartimentado con placard de dos hojas incorporado (3,24x2,03). <br />
<br />
Amplia cocina comedor diario (4,18x4,21) con mucho espacio de guardado, muebles bajo mesada y alacenas, dos nichos con estantes, la cual se comunica con la dependencia de servicio, el lavadero, teniendo salida al patio/jardin y acceso al comedor principal por medio de una doble puerta corrediza. <br />
<br />
Entrada principal y de servicio a trav&eacute;s de la cochera le confieren doble circulaci&oacute;n a la casa. Toilette de recepci&oacute;n compartimentado. Altillo o playroom en segundo piso. Cochera cubierta (5,66x2,88) con capacidad para un auto. Instalaci&oacute;n central de aire acondicionado. Parrilla a gas en el patio (6,20x4,45). Hogar a gas en estar. <br />
<br />
Superficie construida 290m2, superficie libre 60m2, superficie total 350m2. <br />
<br />
Superficie del terreno 8,66x21,02. <br />
<br />
ATENDEMOS TODOS LOS D&Iacute;AS - ASESORAMIENTO INTEGRAL OPERACIONES SIMULTANEAS Y CON CREDITO HIPOTECARIO TASAMOS SU PROPIEDAD, LL&Aacute;MENOS Y RECIBA EL TRATO QUE SUS EXPECTATIVAS Y PROPIEDAD MERECEN - CALIDAD EN SERVICIO INMOBILIARIO, NO SE CONFORME CON MENOS <br />
<br />
Visitas &uacute;nicamente con acompa&ntilde;amiento de un integrante del equipo de la empresa.<br />
<br /><br />
 - Baulera\n- Comedor\n- Cocina\n- Jardín\n- Living comedor\n- Comedor diario\n- Dependencia servicio\n- Lavadero\n- Dormitorio en suite\n- Escritorio\n- Living\n- Vestidor\n- Altillo\n- Toilette\n- Suite\n <br />
 Ref#463542.",Casa,Venta
2,BE7xCGFmkqAznai2e8UcZQ==,Propiedad,2021-03-19,2021-04-16,2021-03-19,-31.4100996,-64.1876274,Argentina,Córdoba,Córdoba,,,,2.0,,,,,6600000.0,ARS,,Departamento Un Dormitorio Centro Financiación,"Departamento ubicado en el centro de la Ciudad de Córdoba, sobre calle Sucre N°380, en una zona de mucho movimiento comercial y residencial, de fácil estacionamiento y con servicio de transporte público.

- Planta baja
- Un dormitorio
- Un baño con antebaño
- Living comedor
- Cocina separada
- Patio

Formas de pago:

- Contado 
- Entrega de vehículo como parte de pago
- Entrega 60% y saldo en cuotas en pesos

Te invitamos a completar el formulario de consulta y a la brevedad nos pondremos en contacto para contarte cada detalle de esta excelente  propiedad y coordinar una vista.

GRUPO CORTEN
CPI 4664
 Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).",Departamento,Venta
3,MmKwb8KN01vZhRNOgJ/Sxw==,Propiedad,2020-05-28,2020-11-26,2020-05-28,-31.6624513,-64.4495888,Argentina,Córdoba,Alta Gracia,,,,4.0,,1.0,,140.0,65000.0,USD,,VENTA 2 DPTOS CON RENTA RÁPIDA ALTA GRAC,Departamento en Venta de 1 dorm. en Alta Gracia,Departamento,Venta
4,Y1IeDGw1XQFbDIc43c+jzg==,Propiedad,2021-03-10,2021-03-22,2021-03-10,-34.5116252328,-58.4831809213,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,5.0,4.0,2.0,230.0,221.0,435000.0,USD,Mensual,Olivos 5 ambientes   dependencia   jardin,Residencia ubicada en Olivos.<br>PB: Hall de distribucion con toilette y placard de recepción. El comedor se encuentra en un ambiente separado.<br>Living con conexion directa al exterior logrando una interaccion con el jardin <br>Cocina separada.<br>Cochera para dos autos. Lavadero y dependencia de servicio con  baño con ducha.<br>Hermoso jardin a pulmon de manzana.<br>Piscina.<br>Parrilla<br>PA: Hall de distribucion. Dormitorio principal en suite con vestidor. Tres dormitorios y baño completo.<br>Todos los ambientes de la casa son amplios con ventilacion natural. Calefaccion por radiadores.<br><br><br>Las imágenes provistas en el anuncio fueron incluidas solo a efecto ilustrativo de esta presentación. <br>Las medidas son aproximadas y han sido suministradas por los propietarios y/o el desarrollador.<br>Propiedad sujeta a la gestión del COTI por parte del propietario.<br><br>Nucifora Propiedades S.R.L.<br>CUCICBA 6189 - CMCPSI 6555<br><br>Seguinos en instagram nuciforapropiedades<br><br>Suc La Lucila | Suc CABA | Suc tigre,Casa,Venta
5,hM4/GHoPhdtIn7i8sTn14A==,Propiedad,2020-07-13,2020-07-15,2020-07-13,-34.912805,-56.1493216,Uruguay,Montevideo,Pocitos,,,,2.0,1.0,1.0,64.0,56.0,191000.0,USD,Mensual,Apartamento de 1 dormitorio en venta en Pocitos,"A estrenar en diciembre de 2022. Excelente proyecto ubicado en pleno Pocitos a 2 cuadras del mar.<br>Piso 3 al frente. Living comedor con terraza, cocina integrada con placares y equipamiento importado, 1 dormitorio con placard, cortina de enrollar de aluminio y terraza hacia atrás, 1 baño. <br>Calefacción eléctrica individual por losa, y previsión para aire acondicionado. Pisos de madera natural plastificados, instalación de gas por cañería, carpintería de madera de alto nivel.<br>Garaje opcional desde U$S 24.000, no incluido en el precio.<br>Forma de pago:<br>20% al compromiso<br>60% durante obra en 6 cuotas trimestrales de 10% cada una<br>20% a la entrega<br>Gastos de ocupación 4%<br>El edificio contará con importante hall de acceso, salón para reuniones en piso 11 totalmente equipado y con terrazas panorámicas hacia ambos frentes equipadas.<br>Conexión de wifi en zonas comunes.<br>Referencia AAP2510363<br>u303<br><br>Honorarios por intermediación: <br>3% + IVA para operaciones de compra. <br>Un mes de alquiler + IVA para operaciones de alquiler.<br><br>La información contenida en el presente documento ha sido proporcionada íntegramente por el/los propietarios del inmueble. Arquibrokers Coldwell Banker no se responsabiliza por las diferencias ni las modificaciones que puedan surgir a partir de este documento.<br>Coldwell Banker Arquibrokers <br>  - 095958398",Departamento,Venta
6,z2lxA4k97/qw0+8eJAu+9Q==,Propiedad,2021-01-15,2021-01-17,2021-01-15,-34.9846185598,-58.0883082747,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,,,,,2.0,1.0,,,1234567.0,USD,,casa-venta,AVERSA INMOBILIARIA - venta  casa - WEB : http://--- **** DESCRIPCION DEL INMUEBLE ****  - Excelente casa de material con lote.  - DIRECCION : Calle 526 y 210 esq.  - CANTIDAD DE DORMITORIOS : 2 - PATIO : SI ,Casa,Venta
7,QxSTC2stN842wxMyBOZXlw==,Propiedad,2020-12-03,2021-05-19,2020-12-03,-26.7727018683,-65.2355935535,Argentina,Tucumán,Tafí Viejo,,,,,2.0,1.0,80.0,60.0,55000.0,USD,Mensual,Casa - Tafi Viejo,"Casa original de de 2 dormitorios en Lomas de Tafí, con ampliación sólo de una amplia galería/cochera. También se cerro el frente con pared y 2portones ciegos para ingreso peatonal y vehicular. La cocina comedor integrada con muebles bajo mesada, calefón y cocina. Los dos dormitorios sin placard (con el espacio para hacerlos) Baño completo. El jardín es grande, lo que da posibilidades de ampliar",Casa,Venta
8,eamjtH2SO9usmdLl99f/4A==,Propiedad,2021-01-11,2021-01-14,2021-01-11,-34.9448535832,-57.9448784888,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,,,,,0.0,,,,1234567.0,ARS,,lote-venta,OCAMPO Propiedades - venta  lote - WEB : http://--- **** DESCRIPCION DEL INMUEBLE ****  - DIRECCION :  515 e/ 147 a 149  - LA PLATA - ESTADO : Excelente - CANTIDAD DE DORMITORIOS : CONSULTAR ,Lote,Venta
9,mihsUasLQwApQ4uwehyuyQ==,Propiedad,2021-05-19,2021-06-05,2021-05-19,-34.6562901,-58.6408816,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Castelar,,,2.0,1.0,1.0,,36.0,68000.0,USD,Mensual,Departamento - Castelar Sur,"Departamento 2 ambientes con Cloaca en Villa del luján al 700, Morón, Castelar, por U$S 68.000",Departamento,Venta
